,sentence,label
51, die [/] die koopt een [///] die heeft een ijsje. ,1
52, er komt een heks aan. ,1
53, de heks neemt een lik van (he)t ijsje. ,1
54, de heks (.) neemt nog een keer een lik van het ijsje. ,1
55, ze wil weer een mun [//] &eh ijsje kopen. ,1
56, de [/] de piraat heeft een bal. ,1
57, hij trapt (he)m weg. ,1
58, hij komt in het water. ,1
59, er staat een ridder met een schepnet. ,1
60, dus de ridder pakt met (he)t schepnet de bal uit het water. ,1
61, en de piraat heeft z(ij)n bal weer terug. ,1
62, einde. ,1
63, <prinses heeft een gieter> [//] &ehm danseres heeft een gieter. ,1
64, <ze vul(t)> [//] ze gaat naar het kraantje. ,1
65, ze staat op haar tenen. ,1
66, en vult de gieter. ,1
67, ze geeft de bloemetjes water. ,1
68, de [/] de verpleegzuster staat er ook bij. ,1
69, de verpleegzuster plukt de bloem. ,1
70, ze geeft (he)m aan het meisje. ,1
71, <het mei(sje)> [//] de danseres doet (he)m in haar haar. ,1
72, einde. ,1
73, Frederike Investigator ,1
74, een indiaan ziet een appelboom met groene appels. ,1
75, de indiaan wil die appels pakken. ,1
76, voor hem zit een rots. ,1
77, maar hij kan er niet bij. ,1
78, hij wil wel een appel. ,1
79, maar kan er niet bij. ,1
80, en toen kwam er een cowboy met een ladder. ,1
81, <en hij> [//] en de indiaan viel. ,1
82, de [/] de &ehm hoe heet dat. ,1
83, de cowboy pakt hem [//] een appel. ,1
84, en de indiaan klij [//] kijkt blij. ,1
85, die is blij. ,1
88, en toen [///] en de cowboy geeft hem aan hem. ,1
89, en hij is blij. ,1
90, en hij wil [/] wil hem heel graag direct opeten. ,1
91, einde. ,1
92, de prinses geeft [//] wil een ijsje. ,1
93, ze geeft n euro. ,1
94, ze heeft het ijsje gekocht. ,1
95, ze slikt eraan. ,1
96, daar komt een heks. ,1
97, ze wil hem geven aan de [///] ze haalt het ijsje voor de heks. ,1
98, de heks heeft het ijsje. ,1
99, de heks likt eraan. ,1
100, de prinses wil nog een ijsje. ,1
101, ze heeft weer n euro in de hand. ,1
102,*IN2 heel mooi. ,1
103, en het is einde. ,1
104, de piraat heeft een bal. ,1
105, de piraat schopt bij een meertje met z(ij)n houten voet. ,1
106, oeps de bal viel in het water. ,1
107, en naast hem staat nu een ridder. ,1
108, die ridder pakt <een netje> [//] een visnetje. ,1
109, de ridder pakt de bal uit het water. ,1
110, en het &ehm piraatje kijkt een beetje blij. ,1
112, einde. ,1
113, het ballet [/] ballet. ,1
114, ik noem haar ballet ok? ,1
115, ballet ging [//] pakte (he)t [//] de gieter. ,1
116, <ze gooide wa(t)> [//] ballet gooide wat water in de gieter. ,1
117, ze gooide wat water op de bloemen. ,1
118, &oh oeps ik heb nog wat vergeten. ,1
119, en de [//] <het ziekenhuis> [//] de dokter die staat [//] kijkt er ,1
120, blij bij. ,1
121, en zij plukte <een bloemetje> [//] de bloemen. ,1
122, ze geeft hem aan ballet. ,1
123, ballet doet hem in <het haar> [//] haar haar. ,1
124,*IN2 heel mooi. ,1
125, de ballerina heeft een gieter. ,1
126, die vult ze met water. ,1
127, en dat geeft ze aan de plantjes. ,1
128, maar de zuster komt erbij. ,1
129, en die plukt het bloemetje. ,1
130, en die geeft (he)m weer aan de ballerina. ,1
131, en de ballerina doet het in haar haar. ,1
132, klaar. ,1
133, de piraat heeft een voetbal. ,1
134, die schopt die <bij de wa(ter)> [//] bij het water. ,1
135, hij komt in de water. ,1
136, en de piraat huilt. ,1
137, maar de ridder staat erbij. ,1
138, de ridder heeft een vangnet. ,1
139, en die haalt de bal uit het water. ,1
140, en de piraat is weer blij. ,1
141, de prinses staat bij een ijsco^wagen. ,1
142, en hij heeft een euro in de hand. ,1
143, daarvan heeft ze een ijsje gekocht met drie bolletjes ijs. ,1
144, die likt ie [ hij] lekker op. ,1
145, die geeft ze aan de heks. ,1
146, die neemt hem aan. ,1
147, en kijkt blij. ,1
148, nu likt de heks ervan. ,1
149, wat kijkt ze blij. ,1
150, nu haalt ze nog een ijsje. ,1
151, voor zichzelf. ,1
152, de indiaan is bij de appelboom met groene appels. ,1
153, hij staat op de steen die erbij stond. ,1
154, en pakt een appel. ,1
155, hij probeert het. ,1
156, maar hij valt van de steen. ,1
157, en daar staat de cowboy met een ladder. ,1
158, en de cowboy klimt op de ladder. ,1
159, en pakt de appel. ,1
160, en die geeft (he)m weer aan de indiaan. ,1
161, oh wat is de indiaan blij. ,1
162, er [/] er was eens een ballerina. ,1
163, &eh <ze had een> [/] &hm ze had een. ,1
164, ik weet niet meer hoe dat heet. ,1
165, er was eens een ballerina. ,1
166, en ze had in haar hand een. ,1
167, een gieter. ,1
168, ze dee(d) er water in. ,1
169, ze geeft de plantjes water. ,1
170, &ehm ba(llerina) [/] ballerina zag de [/] de dokter. ,1
171, de dokter plukte een bloem. ,1
172, en toen woude [ wilde] die s [///] de [/] de dokter wou de [/] (.) ,1
173, de bloem aan de ballerina geven. ,1
174, ze dee(d) (he)t in haar haar. ,1
175, er was eens een piraat. ,1
176, hij had een bal in z(ij)n hand. ,1
177, <hij schopte (he)m> [/] hij schopte (he)m in de lucht. ,1
178, de bal viel in het water. ,1
179, en hij huilde. ,1
180, <de ridder> [/] de ridder kwam eraan. ,1
181, hij zag toen dat ie [ hij] huilde. ,1
182, de ridder pakte de bal van de piraat eruit. ,1
183, de ridder heeft de bal uit het water gepakt. ,1
184, nou is de piraat weer blij. ,1
185, <hij is> [//] hij heeft z(ij)n bal weer terug. ,1
186, de piraat is hartstikke blij. ,1
187, de prinses heeftn euro in haar hand. ,1
188, ze wil er een ijsje van kopen. ,1
189, ze heeft het ijsje gekocht. ,1
190, de [/] de heks kwam eraan. ,1
191, en ze had nog steeds (he)t ijsje in haar hand. ,1
192, de prinses geeft het ijsje aan de heks. ,1
193, de heks likte eraan. ,1
194, de prinses ko(opte) [/] koopte nog een ijsje van n euro. ,1
195, de indiaan (.) die zag een appel in de boom. ,1
196, hij probeerde de appel te pakken. ,1
197, de indiaan viel. ,1
198, hij had pijn. ,1
199, <de r> [//] de. ,1
200, <hoe heet ie [ hij] nou> [//] hoe heet (he)t nou [x 3]. ,1
201, de cowboy had een ladder. ,1
202, <hij pa(kte)> [/] <hij pakte> [/] hij pakte de ladder. ,1
203, en [/] en toen. ,1
204, weet ik niet meer. ,1
205, toen [x 3] klom die naar boven. ,1
206, en hij pakte de appel voor de indiaan. ,1
207, de [x 3] ri(dder) nee ach [///] de cowboy <geefte de> [/] geefte de ,1
208, appel aan de indiaan. ,1
209, de indiaan was blij met z(ij)n appel. ,1
210, en toen at ie [ hij] die op +/. ,1
212, dr [ er] loopt een indiaan op straat. ,1
213, en hij ziet een boom. ,1
214, hij wil een appel pakken. ,1
215, maar hij kan dr [ er] niet bij. ,1
216, en toen viel die dr [ er] vanaf. ,1
217, van die steen. ,1
218, en toen kwam de cowboy. ,1
219, en hij neemt een trap mee. ,1
220, en hij ging de trap tegen de boom aanzetten. ,1
221, en hij plukte een appel. ,1
222, hij geeft (he)m aan de indi(aan) [/] indiaan. ,1
225, de koningin loopt op straat. ,1
226, ze wil een ijsje. ,1
227, ze heeft een ijsje. ,1
228, ze likt eraan. ,1
232, toen ging de heks een likje nemen. ,1
233, en toen ging de prinses weer naar de ijskraam. ,1
234, de Pietpiraat loopt op straat met een bal. ,1
235, hij schiet (he)m omhoog. ,1
236, en toen ging de Pietpiraat huilen. ,1
237, en toen kwam dr [ er] een ridder. ,1
241, en hij heeft hem gepakt. ,1
242, en [/] en hij kan er nog net bij. ,1
243, en hij heeft de bal. ,1
245, (ee)n meisje die zit op de straat. ,1
246, ze heeft een gieter. ,1
247, ze gaat er water in doen. ,1
248, ze gaat dan bloemetjes &eh water geven. ,1
249, en de zuster komt. ,1
250, de zuster plukt bloemetjes. ,1
252, ze stopt (he)m in haar haar. ,1
253, er was eens een klein meisje. ,1
254, en zij ging in de tuin de plantjes water geven. ,1
255, &oh nee. ,1
256, en toen [///] eerst <ging ze> [/] ging ze water in de +//. ,1
257, wat moet dat voorstellen? ,1
259, in de beker. ,1
260, of wat dat ook is. ,1
261, vergiet. ,1
262, ja ik weet niet. ,1
263, en ging de bloemetjes water geve(n). ,1
264, en toen kwam er <een &eh dokter> [//] (.) een zuster langs. ,1
265, en die zuster plukte een bloem. ,1
266, en het meisje keek ernaar . ,1
267, en ging (.) een beetje springen. ,1
268, de zuster gaf de bloem aan (he)t meisje. ,1
269, de meisje dee(d) (he)t in haar haar. ,1
270, er was eens een piraat. ,1
271, nee. ,1
272, <een jongen> [//] Jantje had zich verkleed als een piraat. ,1
273, hij ging voetballe(n). ,1
274, hij schoot de bal in (he)t water. ,1
275, <hij ging> [//] hij was heel erg verdrietig. ,1
276, en toen kwam de ridder eraan. ,1
277, en vroeg wat er aan de hand was. ,1
280, toen ging de ridder een net ophalen. ,1
281, en toen werd de piraat een beetje blij xxx. ,1
282, de [/] de ridder haalde de bal (.) uit (he)t water. ,1
283, en trouwens de helft van de bal mist. ,1
284, en de piraat is blij. ,1
285, hij [/] hij is heel blij dat hij de bal oppakte. ,1
286, verder. ,1
287, &ehm een (.) &ehm +//. ,1
288, even de naam bedenken. ,1
290, &ehm ging naar de ijscokraampje. ,1
291, ze ging een ijsje halen. ,1
292, ze vond (he)t ijsje heel erg lekker. ,1
293, en begon toen te likke(n). ,1
294, aan het ijsje dan. ,1
295, en toen kwam er een heks aan. ,1
296, en die pakte het ijsje af. ,1
297, de heks ging eraan likken. ,1
298, &=laughs . ,1
299, &=laughs . ,1
300, en toen was de prinses zo verdrietig. ,1
301, &=laughs . ,1
302, ze ging er nog n halen. ,1
303, &=laughs . ,1
304, er was eens een kleine (.) &ehm indiaantje. ,1
305, <die ging kijk(en)> [//] die ging op zoek naar eten. ,1
306, hij zag een boom met appels erin. ,1
307, en een steen ernaast. ,1
311,%com appels wordt bedoeld in plaats van appel uit de vorige zin. ,1
312, dus hij ging maar plukken. ,1
313, en toen viel die [ hij] er vanaf. ,1
314, en toen kwam er een cowboy aan met een ladder. ,1
315, de cowboy helpde [ hielp] de indiaan om de appel te halen. ,1
316, en het klopt niet. ,1
317, want cowboys en indianen zijn de ergste vijanden van elkaar. ,1
318, en toen opeens werd (he)t nog raarder. ,1
319, <want de> [/] want de cowboy <gaf een appel> [//] gaf de appel aan ,1
320, de indiaan (.) die net van de steen is <afgepl> [/] gepleurd. ,1
321, dus eigenlijk heb ik wel gelijk. ,1
322, ik zei dat iemand op zijn mond zou pleuren. ,1
323, &=laughs . ,1
324, en hij werd blij. ,1
325, en ging de appel (..) eten. ,1
326, de ballerina die geeft de planten water. ,1
327, de ballerina die vult de gieter met water. ,1
328, de ballerina die geeft de planten water. ,1
329, en de dokter die kijkt. ,1
330, <de balle(rina)> [/] de ballerina kijkt naar de dokter wat de ,1
331, dokter doet. ,1
332, de dokter plukt een bloem. ,1
336, en de ballerina doet (he)m in z(ij)n haar. ,1
337, <de dief die heeft een bal> [//] nee de piraat die heeft een bal. ,1
338, de piraat die schiet hem in de water. ,1
339, en de ridder is bij hem. ,1
340, en piraat moet huilen. ,1
341, want z(ij)n bal ligt in de water. ,1
345, en hij heeft de bal gevangen. ,1
346, en hij ging weer voetballen. ,1
347, de prinses die koopt een ijsje van n euro. ,1
348, en de prinses likt aan haar ijsje. ,1
349, en daar kwam de heks. ,1
354, en toen had zij hem. ,1
357, toen ging ze weer n kopen. ,1
358, kwam de indiaan bij de appelboom. ,1
359, de indiaan plukt ern. ,1
360, hij viel. ,1
361, en toen kwam de cowboy met zijn ladder. ,1
362, en hij plukte paar. ,1
365, Maaike Investigator ,1
366, &eh de ballerina had een gieter. ,1
367, ze ging hem vullen met water. ,1
368, en (.) toen zei de verpleegster tegen de balleli [//] ba(llerina) ,1
373, en toen zei de ballerina dat de verpleegster ook een bloem mocht. ,1
374, en zo waren ze gelukkig. ,1
375, en (.) de ballerina deed (.) ook een bloem in haar haar. ,1
376, er was e(en)s een stoere piraat die ging voetballen. ,1
377, hij schopt de [/] de bal heel hoog. ,1
378, maar toen kwam de bal in het water. ,1
379, en toen kwam er een ridder. ,1
380, en die zei dat ie [ hij] (h)em er wel uit zal halen met een net. ,1
381, toen haalde h(ij) [//] de ridder de bal uit het water. ,1
382, en toen was de piraat helemaal blij. ,1
383,*IN2 echt goed hoor. ,1
384, er was e(en)s een prinses. ,1
385, die wou een ijsje. ,1
386, het ijsje was heel lekker. ,1
387, maar toen kwam ze een heks tegen. ,1
388, en ze zei dat zij hem ook wel lekker mocht proeven. ,1
389, ze proefde. ,1
390, en proefde. ,1
391, en toen kocht het [/] het prinsesje ook nog een ijsje. ,1
392, er was (ee)ns een indiaan. ,1
393, en hij wou een hele lekkere groene appel. ,1
394, hij [/] <hij sto(nd)> [//] hij ging op een steen staan. ,1
395, en probeerde hem te plukken. ,1
396, maar dat lukte niet. ,1
397, en toen viel die om. ,1
398, en [///] maar toen kwam er <een ridder> [//] een &eh cowboy met een ,1
399, &eh ladder aan. ,1
400, de cowboy zette de ladder tegen de boom. ,1
401, en haalde een appel eruit. ,1
402, en <de ri(dder)> [//] de cowboy gaf hem aan de indiaan. ,1
403, en toen was de indiaan blij. ,1
404,*IN2 zo. ,1
405, dit is een &ehm &ehm ba(lletdanserje) [/] balletdanseresje die een ,1
406, gieter heeft. ,1
407, en ze doet water in de gieter. ,1
408, en dan geeft ze de plantjes water. ,1
409, en daar komt de zuster aan. ,1
410, de zuster pluktn van de bloemetjes. ,1
414, (.) &ehm . ,1
415, &oh nee dat gaat helemaal fout! ,1
419, dat zei de zuster. ,1
420, maar nu heb ik dit gezien. ,1
421, en toen deed die balletdanseresje die bloem in haar haar. ,1
422, ja. ,1
423, en ze plukt er een bloemetje. ,1
426, en ze deed (h)et. ,1
427, <en ze stond> [//] en het stond haar beeldschoon. ,1
428, zo dit is piraat die aan (he)t voetballen is. ,1
429, en hij schopt de bal met z(ij)n houten poot. ,1
430, en [//] maar nu ligt ie [ hij] in [/] &eh <in de> [//] in een ,1
431, plas. ,1
432, en hij kan (h)em niet pakken. ,1
433, en daar komt de ridder aan. ,1
434, en de ridder die heeft een schepnet <bij zich> [//] bij hem. ,1
435, en die vist de bal uit de plas. ,1
436, en dan heeft de piraat zijn bal weer. ,1
437, de koningin die wil graag een ijsje hebben. ,1
438, en ze heeftn euro. ,1
439, en ze heeft een ijsje gekocht. ,1
440, en [/] en de koningin die komt [/] komt een heks tegen. ,1
441, en de koningin <geeft de heks het ijsje> [//] geeft (he)t ijsje aan ,1
442, de heks. ,1
443, en die heks vindt (he)t ijsje lekker. ,1
444, en toen ging de koningin [/] koningin weer naar de ijskraam. ,1
445, en toen ging ze zelf een ijsje kopen voor haarzelf. ,1
446, de indiaan die wil graag een appel uit de appelboom plukken. ,1
447, hij kan er net niet bij. ,1
448, ook al staat ie [ hij] op een steen. ,1
449, hij kan er nog net niet bij. ,1
450, en hij valt eraf. ,1
451, maar toen kwam de cowboy met een ladder. ,1
452, en die had de ladder tegen de boom aangezet. ,1
453, en die ging de appel plukken voor de indiaan. ,1
454, en hij gaf de appel aan de indiaan. ,1
455, en de indiaan had lekker van de appel gesmuld. ,1
456, een ballerina. ,1
457, ze [/] &ehm ze &eh gaat de plantjes &ehm ik denk &ehm geven. ,1
458, ze ze &ehm [///] een dokter. ,1
459, ze plukte dr [ er]n. ,1
460, ze [///] toen geeft ze (he)t aan haar. ,1
461, zet ze (he)t in haar haar. ,1
462, een piraat die ging voetballen. ,1
463, hij schopte per ongeluk in de water. ,1
464, hij was ver^drietig. ,1
465, want <hij kan daar> [//] &ehm hij mag [/] mag niet zwemmen. ,1
468, dat was het denk ik. ,1
469, ja. ,1
470, &oh nee! ,1
473, &ehm &oh nee hier was dank je wel. ,1
474, &ehm toen pa(kte) [//] geeft ie [ hij] de bal. ,1
475, toen. ,1
476, was dat het? ,1
477, nee ik denk van niet. ,1
478, wel! ,1
479, nou de prinses gaa(t) [//] wou een ijsje. ,1
480, ze likte tegen (he)t ijsje. ,1
481, ze [///] &ehm de &ehm heks die [/] &ehm die &eh wou eigenlijk haar ,1
482, betoveren ofzo. ,1
483, (i)k weet (he)t niet. ,1
484, &oh die geeft haar een ijsje. ,1
485, &hm wat heeft ze een lange tong zeg. ,1
486, <ze lijk(t)> [/] ze lijkt wel als een kikker. ,1
487, hier ging ze nog een ijsje &ehm ete(n). ,1
488, hij [//] &ehm die indiaan die wou een appel ete(n). ,1
489, toen [/] &eh toen kwam die niet bij. ,1
490, toen valt ie [ hij] . ,1
491, en toen &eh kwamn keer &ehm de boer aan die wou een appel &eh ,1
492, &eh +//. ,1
493, nee. ,1
494, dat [///] de cowboy kwam dr [ er] aan. ,1
495, en &eh (.) die zal (h)em wel &ehm +//. ,1
496, &eh ja. ,1
497, ik weet dat niet. ,1
498, ja. ,1
499, &oh zo. ,1
500, ik dacht dat ie [ hij] &ehm de cowboy &eh &ehm d(r) [ er] [/] ,1
501, d(r) [ er] [/] dr [ er] uit doet. ,1
502, zo &pang . ,1
503, &ehm (.) toen geefde ie (he)m de appel. ,1
504, ja. ,1
505, ja! ,1
506, &=laughs . ,1
507, geeft ie [ hij] (h)em de appel. ,1
508, zei die [ hij] dank u wel. ,1
509, de indiaan loopt naar een boom. ,1
510, <hij zoek(t)> [//] hij plukt een appel. ,1
511, hij valt op de grond. ,1
512, de cowboy <pakt een indiaan> [//] nee pakt een appel. ,1
513, en geeft (h)em aan de indiaan. ,1
514, de indiaan lacht. ,1
515, de prinses loopt naar de (.) ijsbar. ,1
516, ze likt aan het ijsje. ,1
517, ze geeft (he)t ijsje aan de heks. ,1
518, de heks ruikt eraan. ,1
519, en ze likt eraan. ,1
520, en ze koopt nog een ijsje. ,1
521, de [/] de piraat heeft een bal. ,1
522, hij schopt tegen de bal. ,1
523, de bal ligt in (he)t water. ,1
524, en hij huilt. ,1
525, de ridder komt erbij. ,1
526, de ridder (.) vist de bal uit (he)t water. ,1
527, en de Pietpiraat is weer blij. ,1
528, de ballerina (.) heeft een giet(er). ,1
529, ze zet (h)em onder de kraan. ,1
530, ze geeft de bloemen water. ,1
531, de dokter (.) plukt een bloem. ,1
532, de dokter geeft de bloem aan de ballerina. ,1
533, de ballerina lacht. ,1
534, en doet de bloem in haar haar. ,1
535, een balletmeisje <die heeft> [/] die heeft een bloemengieter. ,1
536, hij doet er water in do(or) [/] door de kraan. ,1
537, <hij ging> [//] hij doet het aan [//] tegen de bloemen. ,1
538, hij geefde de bloemen het water. ,1
539, en er komt een dokter. ,1
540, en die plukt een boemboem. ,1
541, de dokter geeft de bloem aan [/] aan [/] aan ball(etmeisje) [//] ,1
542, (he)t balletmeisje. ,1
543, het balletmeisje doet (he)m in haar haar. ,1
544, de piraat heeft een voetbal. ,1
545, hij gaat voetballe(n). ,1
546, hij +//. ,1
547, boem. ,1
548, hij schopt. ,1
549, hij ligt in (h)et water. ,1
550, <hij hee(ft)> [//] hij is aan (he)t huilen. ,1
551, maar opeens komt er een ridder aan. ,1
552, de ridder heeft een net. ,1
553, en [/] e(n) [/] e(n) [/] e(n) [/] en de piraat huilde opeens niet ,1
554, meer. ,1
555, hij heeft de bal gepakt met (he)t net. ,1
556, en [/] en hij geeft hem straks a(an) [/] (a)an [/] aan [/] (.) aan ,1
557, de piraat. ,1
558, de piraat <heeft een> [//] heeft z(ij)n bal weer. ,1
559, hij is weer blij. ,1
560, de prinses is <bij een> [//] bij [/] bij een ijshuis. ,1
561, <ze gaat> [//] ze betaaltn ijsje metn euro. ,1
562, ze heeftn ijsje met drie xxx erop. ,1
563, ze likt overheen. ,1
564, want ze vindt (he)t lekker. ,1
565, daar [/] daar komt opeens een heks aan. ,1
566, ze geef (he)t ijsje aan de heks. ,1
567, de heks heeft het ijsje. ,1
568, hij vindt haar heel lief. ,1
569, ze likt eraan met haar lange tong. ,1
570, ze gaat weer naar de ijsco voorn eurootje. ,1
571, die indiaan is bij een boomhut. ,1
572, hij wil een appel. ,1
573, hij komt er niet bij. ,1
574, en staat op de steen. ,1
575, hij valt van de steen af. ,1
576, ma(ar) [/] ma(ar) [/] ma(ar) [/] maar daar i(s) [/] i(s) [/] is [/] ,1
577, i(s) [/] i(s) een +//. ,1
578, hoe heet dat ook alweer? ,1
579, nee. ,1
580, een cowboy. ,1
581, een cowboy geeft (he)m een trap. ,1
582, en hij pakt een appel. ,1
583, de appel geeft ie [ hij] aan de indiaan. ,1
584, nee. ,1
589, de indiaan hee(ft) [/] hee(ft) [/] heeft de appel. ,1
590, hij wil (he)m opete(n). ,1
591, een indiaan bij de boom. ,1
592, de bomen heeft geen kleur. ,1
593, alleen de appels. ,1
594, de lucht heel [//] heeft een hele mooi lucht. ,1
595, en dr [ er] ligt een hele mooi rots bij die grijs is. ,1
596, de indiaan probeert zijn appel te pakken. ,1
597, maar dat lukt hem niet. ,1
598, want hij [/] hij staat zo wel op de steen. ,1
599, maar het lukt hem nog steeds niet. ,1
600, hij is te klein. ,1
601, wat doet ie [ hij] dr [ er] aan? ,1
602, de indiaan valt. ,1
603, jammer. ,1
604, de cowboys komt eraan. ,1
605, en die gaat (h)em misschien pakken. ,1
606, dat weet hij nog niet. ,1
607, hij kan niet wegrennen. ,1
608, want hij is gevallen van de steen af terwijl dat die [ hij] de ,1
609, appel wou pakken. ,1
610, nu gaat de cowboy voor hem een appel pakken. ,1
611, dat is nou leuk voor (he)m. ,1
612, <want dan> [/] want dan hoeft ie [ hij] niet zo zeer op de grond ,1
613, te liggen. ,1
614, van [///] <of van die steen af te> [/] of van die steen af te ,1
615, vallen. ,1
616, <dat wil> [/] dat wil die niet meer. ,1
617, <gelukkig he(eft) [/] heeft de brand> [//] gelukkig hij heeft de ,1
618, cowboy een ladder mee. ,1
619, de cowboy die geeft de appel aan de indiaan. ,1
620, de indiaan zegt dankjewel. ,1
621, dat [/] dat vindt hij leuk. ,1
622, want hij houdt van dat [//] <want hij houdt van> [/] want hij houdt ,1
623, van cowboyen. ,1
624, ze zijn altijd heel lief tegen (he)m. ,1
625, <nu zijn ze hee(l)> [//] nu is hij heel gelukkig met z(ij)n appel. ,1
626, een prinses die stopte bij een ijsjeskar. ,1
627, wat leuk! ,1
628, hij [//] ze wil graag een ijsje. ,1
629, ze geeft een euro uit. ,1
630, dr [ er] staat duidelijkn euro op. ,1
631, <maar de ijsdinges die heeft> [//] maar de ijskar die <heeft ,1
632, he(laas)> [/] heeft helaas geen kleuren. ,1
633, nu heeft ze een ijsje gekocht van haar enige euro. ,1
634, ze is niet rijk. ,1
635, maar ze heeft wel hele mooie spullen. ,1
636, ze ruilt ervoor. ,1
637, maar jammer nu heeft ze niks meer. ,1
638, alleen nog maarn euro. ,1
639, en daar heeft ze het ijsje voor gegeven. ,1
640, <ze ziet er> [/] ze ziet er heel mooi uit. ,1
641, <en ze hee(ft)> [/] en ze heeft een kroontje op. ,1
642, <daarom noemen w(e)> [/] daarom noemen we haar de prinses. ,1
643, toen kwam ze een heks tegen. ,1
644, en die heks deed heel niet lief. ,1
645, die wilde ijsjes stelen. ,1
646, ze vraagt alleen of je een hapje wil. ,1
647, en die gemene heks met die domme pukkel op z(ij)n neus die zegt ,1
651, de prinses die rent er [//] die helaas niet weg. ,1
652, ze was te langzaam. ,1
653, de heks <kon zich> [//] kon hem inhale(n) met de bezem. ,1
654, nu heeft de heks de ijs. ,1
655, dus ze kunnen er niks aan doen. ,1
656, ze maken vrienden. ,1
657, nu neemt de he(ks) [/] heks een likje. ,1
662, nu zo koopt ze weer een ijsje. ,1
663, ze is hartstikke blij dat ze nog een euro heeft. ,1
664, jammer genoeg weet ze nie(t) meer nou wat ze moet kope(n). ,1
665, alleen een ijsje met drie bollen. ,1
666, gelukkig komt de heks dr [ er] niet meer aan. ,1
667, <want die is> [/] want die is hartstikke dik van de ijsjes. ,1
668, er was is [ eens] een keertje een piraat. ,1
669, die schopte een bal. ,1
670, maar hij had helaas alleen maarn poot. ,1
671, dus hij schopte met z(ij)n verkeerde poot. ,1
672, en z(ij)n haak viel eraf. ,1
673, en de bal was lek <omdat ze> [//] omdat [/] omdat die met z(ij)n ,1
674, haak kwam. ,1
675, en z(ij)n bal is in de zee gevallen <omdat ie [ hij] met z(ij)n> ,1
676, [/] omdat ie [ hij] met z(ij)n verkeerde been schopte. ,1
677, want hij was te hard aan het schoppen omdat [/] omdat (he)t ijzel ,1
678, was. ,1
679, toen is ie [ hij] in de zee gevalle(n). ,1
680, en een haai die heeft (he)m nog steeds lek geprikt. ,1
681, dus hij [///] wan(t) [/] want hij [/] hij moest voor altijd [/] ,1
682, altijd huilen. ,1
683, en nu moet ie [ hij] huilen. ,1
684, nu komt de ridder dr [ er] aan. ,1
685, en die wil hem wel pakken. ,1
686, maar hij wil geen [///] <want hij> [//] maar hij wil geen natte ,1
687, kleren. ,1
688, toch doet ie [ hij] (he)t. ,1
689, want hij wil wel vrienden met [/] <met hem> [//] met de piraat zijn ,1
690, <ook al is die> [/] ook al is die vreemd is in held. ,1
691, <want hij> [/] want hij moet wel stoer zijn. ,1
692, nu heeft de [///] de ridder hoeft gelukkig niet in (he)t water. ,1
693, hij heeft een net gepakt. ,1
694, maar hopelijk zitten dr [ er] geen gaatjes in. ,1
